"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","visib","sndp","num_offences"
"138",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2012,67.1,7.4,10,999.9,0.63742561159969
"139",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2012,75,7.8,10,999.9,0.156429376242254
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2012,78.9,9.3,10,999.9,0.412278437602592
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2012,65.1,11.7,10,999.9,-0.304098934206354
"142",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2012,60.2,6.5,10,999.9,0.350874662876111
"143",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2012,64.2,5,10,999.9,1.59941808231456
"144",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2012,75.7,13.6,10,999.9,1.0979539220483
"145",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2012,76.1,11,10,999.9,1.71199166931311
"146",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2012,69.6,9.2,10,999.9,-0.048249872846016
"147",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2012,79.2,8.2,10,999.9,0.1154935264246
"148",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2012,85.9,12.5,10,999.9,1.16959165922919
"149",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2012,78.1,10.8,10,999.9,1.82456525631166
"150",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2012,65,8.1,10,999.9,0.709063348780584
"151",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2012,51.4,9.8,8.8,999.9,-0.887434794107924
"152",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012,61.2,9,10,999.9,0.28947088814963
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2012,68.9,8.2,10,999.9,0.770467123507065
