"","temp","wdsp","visib","num_offences"
"510",29.1,7.2,8.4,-0.553199362955793
"610",31.6,12.7,8.1,-1.54834667323638
"710",26.5,9.6,9.2,-0.210426400525812
"810",32.3,7.3,8.5,-0.918086710058676
"910",40,14.3,10,0.508291101343503
"1010",34.3,5.9,10,0.121289369567718
"1110",45.9,10.3,5.9,0.740492140408974
"1210",47.6,13.8,10,-0.829629171367068
"1310",27.8,8.5,8.5,-1.42671755753542
"1410",17,8.9,10,-1.02865863342319
"1510",21.7,2.4,10,0.0328318308761099
"1610",25.1,8.5,9.8,-0.0777400924884001
"1710",29.2,9.9,10,0.121289369567718
"1810",27.2,9,10,0.994807564147347
"1910",39.9,14.4,9.6,0.519348293679954
"2010",25.2,15.1,10,-1.65891859660089
"2110",12.4,13.1,10,-1.91323402033927
"2210",5.1,10.7,10,-1.60363263491864
"2310",13.2,9.8,8.9,-0.442627439591283
"2410",13.7,9.6,9.4,0.276090062278032
"2510",21.2,10.5,8.3,-0.155140438843557
"2610",20.9,6.7,9.8,-0.453684631927734
"2710",26.6,10.2,8.5,-1.47094632688123
"2810",41.3,11.7,5,0.762606525081876
"2910",51.8,12.2,5.7,0.751549332745425
"3010",41.1,8.2,4.9,0.198689715922875
"3110",19.1,15.8,7.6,-0.929143902395127
"3210",6.8,14.2,10,0.574634255362209
"3310",16.2,7.9,6.1,-1.10605897977834
"3410",13.7,7.4,8.1,-2.70935186856374
"3510",23,7.7,6.1,-1.2055737108064
"368",20.2,7.7,7.8,-0.542142170619342
"371",26.3,5.8,9.5,-0.133026054170655
"381",33.3,7.1,4.8,-0.940201094731578
"391",28.3,11.9,7.4,-0.243597977535165
"401",27,5.3,9.9,-0.40945586258193
"411",33.9,10.5,8.3,-0.840686363703519
"421",38,22.9,10,-0.862800748376421
"431",27.6,11.6,10,-0.586370939965146
"441",29,4.6,8.6,0.242918485268679
"451",37,10.3,10,-0.973372671740931
"461",30,9.6,9.9,1.0500935258296
"471",19,10,10,-1.62574701959154
"481",16.9,4.3,10,-1.61468982725509
"491",35.9,12.4,9.9,-0.895972325385774
"501",24.3,18.5,7.1,-0.973372671740931
"511",14.6,11.4,9.9,-0.774343209684813
"521",23.1,7,10,-0.774343209684813
"531",27.8,11.8,4.9,-0.829629171367068
"541",26.7,10.2,9.2,-1.55940386557283
"551",25.9,5.5,10,-1.78054771230185
"561",31.2,2.7,10,-0.895972325385774
"571",34.2,14.1,7.6,-1.80266209697476
"581",33.5,10.6,4.4,-0.133026054170655
"591",33.5,11.5,6.6,-0.320998323890322
"601",27.6,11.6,8.5,1.86832575872698
"611",26.4,11.2,9.8,-0.796457594357715
"621",23.2,5.8,10,-1.32720282650736
"631",25.9,5.4,10,-0.265712362208067
"641",32.1,9.6,5.8,-1.55940386557283
"651",30.6,12,7.5,-1.26085967248866
"661",32.6,5.5,10,-0.0777400924884001
"671",31.9,4.6,10,0.464062331997699
"681",34.9,9.4,9.8,0.0107174462032079
"691",42.7,7.2,7.4,-1.59257544258219
"701",42.5,8.3,6.9,-0.155140438843557
"711",32.5,11.9,9.2,0.0438890232125609
"721",27.9,13.4,9.6,-0.144083246507106
"731",28.9,5.3,10,0.0549462155490119
"741",34.6,4.8,8.5,0.441947947324797
"751",33,9.3,6.8,-0.121968861834204
"761",30.3,9.1,10,-0.719057248002558
"771",31.6,9.6,6.9,-0.486856208937087
"781",24.1,18.9,9.8,-0.74117163267546
"791",21.6,14.7,10,-0.542142170619342
"801",21.9,8.8,10,-0.873857940712872
"811",28.3,4.9,10,0.287147254614483
"821",32.4,4.7,10,-0.608485324638048
"831",33.8,13,10,-0.542142170619342
"841",33.8,16.5,9.6,-0.884915133049323
"851",35.2,8.1,9.9,-0.696942863329656
"861",37.2,7,10,-0.696942863329656
"871",38.1,4.9,10,-0.0556257078154981
"881",43.2,2.7,10,0.397719177978993
"891",42.5,6.8,10,0.342433216296738
"901",49.3,11.4,8.8,-0.774343209684813
"911",36.2,11.8,10,1.27123737255862
"921",34,8.4,10,0.0107174462032079
"931",35.1,6.4,10,-0.121968861834204
"941",39.1,6.6,10,1.06115071816605
"951",43.8,9.4,10,0.685206178726719
"961",46.9,14,10,-0.343112708563224
"971",53,12.3,10,-0.453684631927734
"981",50.3,11.6,9.2,0.640977409380915
"991",43.9,8.8,7.5,-0.144083246507106
"1001",39.9,13.2,7.9,0.154460946577071
"1011",41.3,10.9,4.7,-0.276769554544518
"1021",41,9.9,8.1,0.928464410128641
